,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
0,n,0,1,0,636.0,-0.5,-9.662364884650948e-27,
1,H,1,1,0,inf,-0.5,1.410606781866751e-26,
5,H,1,2,0.0,inf,1.0,4.33073508549125e-27,4.58222475282e-50
11,Li,3,6,0.0,inf,1.0,4.154607994935333e-27,-1.2913542485219998e-50
17,Li,3,7,0.0,inf,-1.5,1.6447687711404789e-26,-6.408705948000001e-49
29,Li,3,8,0.0,0.842,2.0,8.351773893318439e-27,5.0308341691799995e-49
36,Li,3,9,0.0,0.178,-1.5,1.7344391222366002e-26,-4.87061652048e-49
42,Li,3,11,0.0,0.0085,-1.5,1.8526274607932002e-26,-5.3352477017100005e-49
50,Be,4,9,0.0,inf,-1.5,-5.94724729773551e-27,8.47551361623e-49
57,B,5,8,0.0,0.77,2.0,5.23155124758721e-27,1.030199481141e-48
63,B,5,10,0.0,inf,3.0,9.094667302513442e-27,1.3538391315150001e-48
67,B,5,11,0.0,inf,-1.5,1.3579784036454282e-26,6.5032343607330006e-49
73,B,5,12,0.0,0.020399999999999998,1.0,5.050783699e-27,2.1148729628399998e-49
77,B,5,13,0.0,0.0174,-1.5,1.60503804386822e-26,5.8479441775499995e-49
81,B,5,14,0.0,0.013800000000000002,-2.0,5.9851786833150004e-27,4.75846416639e-49
84,B,5,15,0.0,0.0103,-1.5,1.3430033855641e-26,6.07224888573e-49
87,B,5,17,0.0,0.0050999999999999995,-1.5,1.287949843245e-26,6.16837947495e-49
92,C,6,11,0.0,1224.0,-1.5,-4.868955485836e-27,5.3352477017100005e-49
94,C,6,12,4438,4.5000000000000004e-14,2.0,-4.868955485836e-27,9.613058922e-49
95,C,6,13,0,inf,-0.5,3.5477300694252485e-27,9.613058922e-49
105,N,7,12,0.0,0.011,1.0,2.3097233855527e-27,1.6021764870000003e-48
111,N,7,14,0.0,inf,1.0,2.039309477091939e-27,3.274848739428e-49
121,N,7,16,0.0,7.13,-2.0,1.00303513478441e-26,-2.8839176766e-49
130,N,7,18,0.0,0.624,-1.0,1.6561519749021e-27,4.3258765149e-49
134,O,8,13,0.0,8..6 ms,-1.5,7.0160436362809e-27,1.77841590057e-49
142,O,8,17,0.0,inf,-2.5,-9.56512366132921e-27,-4.10157180672e-49
154,O,8,19,0.0,27.0,-2.5,7.73754808768305e-27,5.79987888294e-50
166,F,9,18,0.0,1.53e-07,5.0,1.4445241379139998e-26,1.1375453057699998e-48
170,F,9,19,0.0,8.85e-08,-2.5,1.8157567397905e-26,1.509250250754e-48
174,F,9,20,0.0,11.0,2.0,1.05738156738565e-26,8.972188327200001e-49
177,F,9,21,0.0,4.16,-2.5,1.984957993707e-26,1.7623941357e-48
179,F,9,22,0.0,4.2,4.0,1.36088315985856e-26,4.806529461e-50
186,Ne,10,20,0.0,6.999999999999999e-13,2.0,5.45484639492e-27,-3.6850059201e-48
192,Ne,10,21,0.0,inf,-1.5,-3.342593499647103e-27,1.6342200167399996e-48
204,Ne,10,23,0.0,37.6,-2.5,-5.45484639492e-27,2.3231559061499997e-48
207,Na,11,20,0.0,0.446,2.0,1.8657594984106002e-27,1.61819825187e-48
212,Na,11,21,0.0,22.5,-1.5,1.20526851409237e-26,2.21100355206e-48
218,Na,11,22,0.0,82049760.0,3.0,8.818668338454e-27,2.8839176765999994e-48
225,Na,11,23,0.0,inf,-1.5,1.1200898754476064e-26,1.66626354648e-48
234,Na,11,25,0.0,60.0,-2.5,1.8602036363417e-26,2.4032647305e-50
238,Na,11,26,0.0,1.07,3.0,1.4399784325849e-26,-8.4915353811e-50
241,Na,11,27,0.0,0.29,-2.5,1.9672802507605e-26,-1.1375453057700001e-49
246,Na,11,28,0.0,0.0305,1.0,1.2253201253774e-26,6.2324665344299995e-49
251,Na,11,29,0.0,0.043000000000000003,-1.5,1.2369369278850999e-26,1.3618500139500001e-48
258,Mg,12,23,0.0,11.3,-1.5,2.7092403761436e-27,1.82648119518e-48
261,Mg,12,24,0.0,1.4499999999999999e-12,2.0,5.15179937298e-27,-4.6463118122999993e-48
269,Mg,12,25,0.0,inf,-2.5,-4.3206929153095504e-27,3.1883312091300005e-48
272,Mg,12,26,0.0,4.76e-13,2.0,5.050783699e-27,-3.3645706227e-48
281,Al,13,23,0.0,37.2,-2.5,1.9642497805410998e-26,2.5634823792000003e-48
284,Al,13,25,0.0,7.18,-2.5,1.84126319747045e-26,3.8452235688e-48
289,Al,13,27,0.0,inf,-2.5,1.8392463690316024e-26,2.348790729942e-48
293,Al,13,28,0.0,134.4,3.0,1.6374640752158002e-26,2.7557435576399996e-48
299,Al,13,31,0.0,0.644,-2.5,1.914247021921e-26,2.2430470818e-48
303,Al,13,32,0.0,0.033,1.0,9.894485266341e-27,4.005441217500001e-49
306,Al,13,33,0.0,0.044,-2.5,2.0647603761512e-26,2.1148729628400002e-48
311,Si,14,27,0.0,4.1,-2.5,-4.320440376124601e-27,1.0093711868099999e-48
315,Si,14,28,0.0,4.899999999999999e-13,2.0,5.5558620689e-27,2.5634823792000003e-48
320,Si,14,30,0.0,2.5e-13,2.0,4.0406269592e-27,-8.010882435000001e-49
336,S,16,32,0.0,1.6e-13,2.0,4.5457053291e-27,-2.5634823792000003e-48
343,S,16,33,0.0,inf,-1.5,3.2518016220306185e-27,-1.086275658186e-48
348,S,16,34,0.0,3.2e-13,2.0,5.050783699e-27,6.408705948000001e-49
351,S,16,35,0.0,7551360.000000001,-1.5,5.050783699e-27,7.54625125377e-49
356,S,16,43,0.0,4.1500000000000005e-07,-3.5,5.6063699058900004e-27,3.6850059201e-48
363,Cl,17,35,0.0,inf,-1.5,4.151109317067036e-27,-1.3089781898789998e-47
367,Cl,17,36,0.0,3.0x105 y,2.0,6.49263092155353e-27,-2.85187414686e-48
370,Cl,17,37,0.0,inf,-1.5,3.4553603269811964e-27,-1.031801657628e-48
379,Ar,18,35,0.0,1.78,-1.5,3.197146081467e-27,-1.34582824908e-48
381,Ar,18,36,0.0,2.8e-13,2.0,5.050783699e-27,1.7623941357e-48
383,Ar,18,37,0.0,3024000.0,-1.5,5.783147335355e-27,1.21765413012e-48
390,Ar,18,39,0.0,8488994400.0,-3.5,-6.566018808700001e-27,-1.9226117844e-48
394,Ar,18,40,0.0,1.12e-12,2.0,-1.0101567398e-27,1.6021764870000002e-49
396,Ar,18,41,0.0,6552.0,-3.5,-6.611475861991e-27,-6.7291412454e-49
398,Ar,18,43,0.0,322.2,-2.5,-5.1568501566789994e-27,2.2750906115399996e-48
403,K,19,37,0.0,1.23,-1.5,1.02636975547379e-27,1.6983070762199998e-48
410,K,19,39,0.0,inf,-1.5,1.9774187393873398e-27,9.372732448950001e-49
418,K,19,40,0.0,1.3x10*9y,-4.0,-6.5569273980418e-27,-1.1695888355099999e-48
426,K,19,41,0.0,inf,-1.5,1.0853767482254453e-27,1.1391474822569999e-48
443,Ca,20,39,0.0,0.86,-1.5,5.16028468959432e-27,5.7678353532e-49
451,Ca,20,41,0.0,1.0x105 y,-3.5,-8.131761755390001e-27,-1.065447363855e-47
457,Ca,20,42,0.0,1.1000000000000002e-12,2.0,4.0406269592e-28,-3.0441353253000006e-48
462,Ca,20,43,0.0,inf,-3.5,-6.655129785501457e-27,-6.5368800669600004e-49
468,Ca,20,44,0.0,3e-12,2.0,-3.0304702194e-27,-2.2430470818e-48
471,Ca,20,45,0.0,14256000.0,-3.5,-6.646831347884e-27,6.0882706506e-49
478,Sc,21,41,0.0,0.59,-3.5,2.7430806269269e-26,-2.3231559061499997e-48
484,Sc,21,43,0.0,14004.0,-3.5,2.333462068938e-26,-4.3258765149e-48
488,Sc,21,43,0.0,4.73e-07,-9.5,1.5768546708278e-26,3.1883312091300005e-48
491,Sc,21,44,0.0,14004.0,2.0,1.293000626944e-26,1.6021764870000003e-48
494,Sc,21,44,0.0,1.53e-07,-1.0,1.727368025058e-27,3.3645706227e-48
498,Sc,21,44,0.0,210960.0,6.0,1.959704075212e-26,-3.0441353253000006e-48
503,Sc,21,45,0.0,inf,-3.5,2.4023987004105413e-26,-3.5247882714e-48
507,Sc,21,45,0.0,0.318,-1.5,1.8182821316399998e-27,4.4860941636e-48
511,Sc,21,46,0.0,7241184.0,4.0,1.5303874607969998e-26,1.9065900195300002e-48
513,Sc,21,47,0.0,295488.0,-3.5,2.697118495266e-26,-3.5247882714e-48
519,Ti,22,43,0.0,5.6e-07,-9.5,3.646665830678e-26,5.2871824071000006e-48
523,Ti,22,45,0.0,11124.0,-3.5,4.79824451405e-28,2.4032647305e-49
529,Ti,22,46,0.0,5.3600000000000006e-12,2.0,5.050783699e-27,-3.3645706227e-48
532,Ti,22,47,0.0,inf,-2.5,-3.98244193098752e-27,4.83857299074e-48
538,Ti,22,48,0.0,4.29e-12,2.0,4.5457053291e-27,-2.8358523819899996e-48
541,Ti,22,49,0.0,inf,-3.5,-5.576923836924831e-27,3.95737592289e-48
558,V,23,50,0.0,1.5x1017 y,6.0,1.689835095804524e-26,3.3645706227e-48
561,V,23,51,0.0,inf,-3.5,2.6004998820508386e-26,-6.889358894099999e-49
571,Cr,24,50,0.0,9.2e-12,2.0,4.5457053291e-27,-5.767835353199999e-48
581,Cr,24,52,0.0,7.069999999999999e-13,2.0,1.61625078368e-26,-1.2817411896000001e-48
583,Cr,24,53,0.0,inf,-1.5,-2.39679889652346e-27,-2.4032647304999997e-48
589,Cr,24,54,0.0,8e-12,2.0,5.5558620689e-27,-3.3645706227e-48
598,Mn,25,52,0.0,501120.0,6.0,1.54715606267768e-26,8.010882435e-48
602,Mn,25,53,0.0,3.7x106 y,-3.5,2.5375137303776e-26,2.7237000279000003e-48
607,Mn,25,54,0.0,26956800.0,3.0,1.6576167021748098e-26,5.9280530019e-48
611,Mn,25,55,0.0,inf,-2.5,1.7519743825749513e-26,5.2871824071000006e-48
614,Mn,25,56,0.0,9288.0,3.0,1.62968586831934e-26,7.6904471376e-48
623,Fe,26,54,0.0,8e-13,2.0,1.46472727271e-26,-8.010882435000001e-49
626,Fe,26,54,0.0,3.6700000000000004e-07,10.0,3.676970532872e-26,4.8065294609999993e-48
634,Fe,26,56,0.0,6.9e-12,2.0,6.16195611278e-27,-3.6850059201e-48
641,Fe,26,57,0.0,9.8e-08,-1.5,-7.823663949751001e-28,2.5634823792000003e-48
650,Fe,26,58,0.0,6.7e-12,2.0,4.5457053291e-27,-4.3258765149e-48
659,Co,27,56,0.0,6808320.0,4.0,2.0152626959010002e-26,4.0054412175e-48
663,Co,27,57,0.0,23414400.0,-3.5,2.4142746081220002e-26,8.6517530298e-48
668,Co,27,58,0.0,6117120.0,2.0,2.040516614396e-26,3.6850059201e-48
673,Co,27,59,0.0,inf,-3.5,2.3369976175273e-26,6.7291412454e-48
689,Ni,28,58,0.0,6.44e-13,2.0,-5.050783699e-28,-1.6021764870000003e-48
694,Ni,28,60,0.0,7.13e-13,2.0,1.0101567398e-27,-1.6021764870000003e-48
696,Ni,28,61,0.0,inf,-1.5,-3.78818878992398e-27,2.59552590894e-48
698,Ni,28,61,0.0,5.34e-09,-2.5,2.42437617552e-27,-3.2043529740000006e-48
703,Ni,28,62,0.0,1.43e-12,2.0,3.0304702194e-27,8.010882435000001e-49
708,Ni,28,64,0.0,8.499999999999999e-13,2.0,4.5457053291e-27,6.408705948000001e-48
719,Cu,29,58,0.0,3.2,1.0,2.6264075234800002e-27,-2.5634823792000003e-48
725,Cu,29,59,0.0,81.5,-1.5,9.29344200616e-27,-3.2043529740000006e-48
729,Cu,29,60,0.0,1404.0,2.0,6.156905329081001e-27,1.9386335492699998e-48
734,Cu,29,61,0.0,12276.0,-1.5,1.0808677115860001e-26,-3.5408100362699995e-48
740,Cu,29,62,0.0,583.8000000000001,1.0,-1.91929780562e-27,-3.5247882714e-49
750,Cu,29,63,0.0,inf,-1.5,1.1249840848519375e-26,3.5247882714e-48
754,Cu,29,64,0.0,45720.0,1.0,-1.096020062683e-27,1.20163236525e-47
764,Cu,29,66,0.0,306.0,1.0,-1.4243210031179999e-27,9.452841273299999e-49
767,Cu,29,66,0.0,0.60 s,-6.0,5.242713479562e-27,3.12424414965e-48
771,Cu,29,67,0.0,222588.0,-1.5,1.2828990595460001e-26,-2.91596120634e-48
775,Cu,29,68,0.0,31.1,1.0,1.3132037617400002e-26,-1.3778717788199998e-48
779,Cu,29,68,0.0,225.0,-6.0,6.566018808700001e-27,-7.3700118402e-48
783,Cu,29,69,0.0,171.0,-1.5,1.434422570516e-26,-2.46735178998e-48
788,Cu,29,70,0.0,44.5,-6.0,6.566018808700001e-27,-4.77448593126e-48
792,Cu,29,70,0.0,33.0,-3.0,-1.76777429465e-26,-2.2430470818e-48
796,Cu,29,70,0.0,6.6,1.0,9.596489028099999e-27,-1.9226117844e-48
799,Cu,29,71,0.0,19.5,-1.5,1.1515786833719998e-26,-3.2043529740000006e-48
801,Cu,29,72,0,6.62,-2.0,-6.8044157992928e-27,-3.0441353253000006e-48
802,Cu,29,72,0.0,6.62,-2.0,-6.8044157992928e-27,1.2817411896000001e-48
804,Cu,29,73,0.0,4.2,-1.5,8.8014956738774e-27,-3.3645706227e-48
806,Cu,29,74,0,1.63,-2.0,-5.394236990532e-27,-3.2043529740000006e-48
807,Cu,29,74,0.0,1.63,-2.0,-5.394236990532e-27,4.3258765149e-48
811,Cu,29,75,0.0,1.22,-2.5,5.00027586201e-27,-4.5021159284700007e-48
817,Zn,30,63,0.0,2286.0,-1.5,-1.42250272098636e-27,4.6463118122999993e-48
822,Zn,30,64,0.0,1.85e-12,2.0,4.5457053291e-27,-2.2430470818e-48
828,Zn,30,65,0.0,21090240.0,-2.5,3.884052664531e-27,-3.6850059201e-49
837,Zn,30,66,0.0,1.56e-12,2.0,4.5457053291e-27,-1.29776295447e-48
844,Zn,30,67,0.0,inf,-2.5,4.420470642204925e-27,2.4032647304999997e-48
848,Zn,30,67,0.0,3.3300000000000003e-07,-4.5,-5.540709717803e-27,8.6517530298e-48
855,Zn,30,68,0.0,1.61e-12,2.0,4.5457053291e-27,-1.6983070762199998e-48
868,Zn,30,69,0.0,49392.0,-4.5,5.8437567397430006e-27,-7.2097941915e-48
874,Zn,30,70,0.0,3.2e-12,2.0,3.0304702194e-27,-3.8452235688e-48
880,Ga,31,63,0.0,32.4,-1.5,7.419601253831001e-28,3.3966141524399996e-48
884,Ga,31,66,0.0,5.7e-08,-7.0,4.4951974921100005e-27,1.24969765986e-47
888,Ga,31,67,0.0,281880.0,-1.5,9.333848275752e-27,3.1562876793899996e-48
894,Ga,31,68,0.0,4085.9999999999995,1.0,5.934670846325e-29,-4.43802886899e-49
897,Ga,31,68,0.0,6.4e-08,-7.0,3.6365642632799996e-27,1.1535670706399997e-47
900,Ga,31,69,0.0,inf,-1.5,1.0192481504581999e-26,2.73972179277e-48
907,Ga,31,70,0.0,1266.0,1.0,2.883997492129e-27,1.68228531135e-48
910,Ga,31,71,0.0,inf,-1.5,1.294147154843673e-26,1.7143288410900002e-48
917,Ga,31,72,0.0,50760.0,-3.0,-6.6791563635576e-28,8.491535381100001e-48
923,Ga,31,74,0.0,487.19999999999993,-3.0,0.0,8.811970678500001e-48
926,Ga,31,75,0.0,126.0,-1.5,9.273238871364e-27,-4.56620298795e-48
928,Ga,31,76,0.0,32.6,2.0,-4.778041379254e-27,5.2871824071000006e-48
930,Ga,31,77,0.0,13.2,-1.5,1.020258307198e-26,-3.33252709296e-48
932,Ga,31,78,0.0,5.1,2.0,-6.136702194285001e-27,5.2871824071000006e-48
934,Ga,31,79,0.0,2.85,-1.5,5.2881705328529995e-27,2.53143884946e-48
936,Ga,31,80,0.0,0.2 - 1.7 s,-3.0,-7.197366771075e-27,6.088270650600001e-48
938,Ga,31,80,0.0,0.2 - 1.7 s,-6.0,1.81828213164e-28,7.6904471376e-48
940,Ga,31,81,0.0,1.22,-2.5,8.823719122153001e-27,-7.6904471376e-49
942,Ge,32,67,0.0,1.46e-07,-4.5,-4.288115360451e-27,1.47400236804e-47
950,Ge,32,69,0.0,140400.0,-2.5,3.712326018765e-27,4.3258765149e-49
953,Ge,32,69,0.0,2.8 s,-4.5,-5.055834482698999e-27,1.20163236525e-47
961,Ge,32,70,0.0,1.32e-12,2.0,4.5457053291e-27,4.806529461e-49
970,Ge,32,71,0.0,0.0202,-4.5,-5.259381065768699e-27,5.4474000558000006e-48
975,Ge,32,72,0.0,3.29e-12,2.0,3.5355485893e-27,-2.0828294331e-48
979,Ge,32,73,0.0,inf,-4.5,-4.4420011229570225e-27,-3.14026591452e-48
989,Ge,32,74,0.0,1.25e-11,2.0,3.5355485893e-27,-3.0441353253000006e-48
993,Ge,32,74,0.0,4.9000000000000005e-12,2.0,4.0406269592e-27,4.1656588662e-48
1000,Ge,32,76,0.0,1.8600000000000002e-11,2.0,2.8284388714400002e-27,-3.0441353253000006e-48
1009,As,33,70,0.0,3180.0,4.0,1.0637455548463901e-26,1.4419588382999997e-48
1013,As,33,71,0.0,235080.0,-2.5,8.28328526636e-27,-3.3645706227e-49
1016,As,33,72,0.0,93600.0,-2.0,-1.08925201252634e-26,-1.2817411896000001e-48
1020,As,33,73,0.0,5e-09,-2.5,8.23277742937e-27,5.70374829372e-48
1025,As,33,75,0.0,inf,-1.5,7.27050211903652e-27,5.03083416918e-48
1044,Se,34,74,0.0,7.08e-12,2.0,4.34367398114e-27,-5.767835353199999e-48
1049,Se,34,75,0.0,10238400.0,-2.5,3.3840250783300006e-27,1.7623941357000002e-47
1054,Se,34,76,0.0,1.23e-11,2.0,4.0406269592e-27,-5.4474000558000006e-48
1065,Se,34,78,0.0,8.6e-12,2.0,4.0406269592e-27,-4.1656588662e-48
1070,Se,34,79,0.0,<6.5x104 y,-3.5,-5.141697805582e-27,1.2817411896000002e-47
1073,Se,34,80,0.0,8e-12,2.0,4.0406269592e-27,-4.9667471096999993e-48
1079,Se,34,82,0.0,1.13e-11,2.0,4.5457053291e-27,-3.5247882714e-48
1093,Br,35,77,0.0,205200.0,-1.5,4.9184531660862e-27,8.171100083700001e-48
1100,Br,35,79,0.0,inf,-1.5,1.06389707835736e-26,5.0148124043100003e-48
1108,Br,35,80,0.0,1056.0,1.0,2.596102821286e-27,2.96402650095e-48
1113,Br,35,80,0.0,7.400000000000001e-09,-2.0,-8.43480877733e-27,2.6275694386800002e-48
1117,Br,35,80,0.0,15912.0,-5.0,6.6554176801723e-27,1.13754530577e-47
1121,Br,35,81,0.0,inf,-1.5,1.1468117537168837e-26,4.1977023959399996e-48
1130,Br,35,82,0.0,127079.99999999999,-5.0,8.217625078273e-27,1.132738776309e-47
1138,Kr,36,77,0.0,4464.0,-2.5,-2.944606896517e-27,1.5188633096759998e-47
1145,Kr,36,79,0.0,50.0,-3.5,-3.969915987414e-27,6.47279300748e-48
1147,Kr,36,79,0.0,7.770000000000001e-08,-2.5,5.677080877676001e-27,7.2097941915e-48
1153,Kr,36,81,0.0,2.3 x 10*5 y,-3.5,-4.591162382391e-27,1.031801657628e-47
1160,Kr,36,83,0.0,inf,-4.5,-4.902639162324631e-27,4.14963710133e-48
1164,Kr,36,83,0.0,1.47e-07,-3.5,-4.762889028157e-27,8.12303478909e-48
1169,Kr,36,84,0.0,1.84 s,8.0,-9.95004388703e-27,5.767835353199999e-48
1175,Kr,36,85,0.0,339559776.0,-4.5,-5.0785630093445e-27,7.09764183741e-48
1181,Kr,36,87,0.0,4578.0,-2.5,-5.166951724077e-27,-4.8065294609999993e-48
1183,Kr,36,89,0.0,189.0,-1.5,-1.6667586206700002e-27,2.65961296842e-48
1185,Kr,36,91,0.0,8.57,-2.5,-2.944606896517e-27,4.8545947556100003e-48
1187,Kr,36,94,666,8.7e-12,2.0,-2.085973667687e-27,-8.010882435e-48
1191,Rb,37,76,0.0,39.0,-1.0,-1.882037164115737e-27,7.3700118402e-48
1194,Rb,37,77,0.0,228.0,-1.5,3.293110971748e-27,1.34582824908e-47
1197,Rb,37,78,0.0,378.0,-4.0,1.293000626944e-26,1.5861547221299999e-47
1200,Rb,37,79,0.0,1380.0,-2.5,1.697063322864e-26,-1.9226117844e-48
1204,Rb,37,80,0.0,30.0,1.0,-4.19215047017e-28,6.7291412454e-48
1209,Rb,37,81,0.0,16488.0,-1.5,1.04020890280905e-26,7.6904471376e-48
1211,Rb,37,81,0.0,1920.0,-4.5,2.8274287147002e-26,-1.4419588383e-47
1214,Rb,37,82,0.0,75.0,1.0,2.7981341692460003e-27,3.6850059201e-48
1218,Rb,37,82,0.0,23292.0,-5.0,7.62668338549e-27,1.9226117843999997e-47
1225,Rb,37,83,0.0,7447680.0,-2.5,7.1968616927051e-27,3.8452235688e-48
1229,Rb,37,84,0.0,2851200.0,-2.0,-6.566018808700001e-27,-3.2043529740000003e-49
1232,Rb,37,84,0.0,1224.0,-6.0,1.0754785253791671e-27,1.1215235409e-47
1238,Rb,37,85,0.0,inf,-2.5,6.853913479543e-27,4.42200710412e-48
1247,Rb,37,85,0.0,1.02 s,-4.5,3.111282758584e-26,-1.4419588383e-47
1252,Rb,37,86,0.0,1611359.9999999998,-2.0,-8.576230720902e-27,3.6850059201e-48
1255,Rb,37,86,0.0,61.2,-6.0,9.167172413685e-27,7.2097941915e-48
1259,Rb,37,87,0.0,4.9 10*10y,-1.5,1.3895892890118264e-26,2.138905610145e-48
1268,Rb,37,88,0.0,1062.0,-2.0,2.5860012538880002e-27,-1.6021764870000002e-49
1272,Rb,37,89,0.0,912.0,-1.5,1.2005712852522998e-26,2.7237000279000003e-48
1276,Rb,37,90,0.0,255.6,-3.0,8.141863322788e-27,4.0054412175e-48
1280,Rb,37,91,0.0,58.0,-1.5,1.0995556112723001e-26,3.0441353253000006e-48
1284,Rb,37,93,0.0,5.85,-2.5,7.0710971786e-27,3.3645706227e-48
1287,Rb,37,94,0.0,2.73,-3.0,7.566073981102e-27,3.2043529740000006e-48
1289,Rb,37,95,0.0,0.38,-2.5,6.737745454466e-27,4.1656588662e-48
1291,Rb,37,96,0.0,0.2,2.0,7.404448902734e-27,4.8065294609999993e-48
1293,Rb,37,97,0.0,0.17,-1.5,9.298492789859e-27,1.1215235409e-47
1295,Sr,38,77,0.0,9.0,-2.5,-1.757672727252e-27,2.03476413849e-47
1298,Sr,38,79,0.0,135.0,-1.5,-2.394071473326e-27,1.059038657907e-47
1313,Sr,38,83,0.0,116640.0,-3.5,-4.1911403134302e-27,1.1343409527959998e-47
1330,Sr,38,85,0.0,5598720.0,-4.5,-5.0533090908495e-27,4.2137241608100003e-48
1342,Sr,38,87,0.0,inf,-4.5,-5.523552205577498e-27,4.88663828535e-48
1351,Sr,38,89,0.0,4363200.0,-2.5,-5.7988047648219e-27,-4.05350651211e-48
1356,Sr,38,91,0.0,34200.0,-2.5,-4.4699435736150004e-27,6.7291412454e-49
1362,Sr,38,93,0.0,444.0,-2.5,-4.0052714733070006e-27,3.8452235688e-48
1370,Sr,38,99,0.0,0.269,-1.5,-1.3182545454390002e-27,1.2176541301200002e-47
1394,Y,39,87,0.0,48240.0,-4.5,3.0607749215939997e-26,-8.010882435e-48
1396,Y,39,88,0.0,48240.0,-4.0,-2.12132915358e-27,2.5634823792000003e-48
1399,Y,39,88,0.0,0.014,8.0,2.459731661413e-26,9.613058922e-49
1404,Y,39,89,0.0,16.1,-4.5,3.146638244477e-26,-6.8893588941e-48
1406,Y,39,90,0.0,230759.99999999997,-2.0,-8.23277742937e-27,-2.00272060875e-48
1411,Y,39,90,0.0,11484.0,7.0,2.57589968649e-26,-1.04141471655e-47
1416,Y,39,92,0.0,12744.0,-2.0,-3.3840250783300006e-27,0.0
1420,Y,39,93,0.0,0.82,-4.5,3.050673354196e-26,-1.0253929516800001e-47
1422,Y,39,94,0.0,1122.0,-2.0,-1.21218808776e-27,-4.806529461e-49
1425,Y,39,96,0.0,9.6,8.0,3.3183648902430003e-26,-1.5701329572599997e-47
1428,Y,39,97,0.0,1.17,-4.5,2.969860815012e-26,-1.2176541301200002e-47
1430,Y,39,97,0.0,0.14200000000000002,-13.5,2.848642006236e-26,-1.9386335492699999e-47
