,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
1432,Y,39,98,0.0,2.0,4.0,1.505133542302e-26,2.7237000278999997e-47
1434,Y,39,99,0.0,1.47,-2.5,1.606149216282e-26,2.48337355485e-47
1436,Y,39,100,0.0,0.94,4.0,1.3889655172250001e-26,2.96402650095e-47
1438,Y,39,101,0.0,0.45,-2.5,1.6263523510780002e-26,2.45133002511e-47
1440,Y,39,102,0.0,0.3,2.0,1.1818833855659999e-26,1.8745464897899999e-47
1472,Zr,40,87,0.0,6048.0,-4.5,-4.520451410605e-27,6.7291412454e-48
1478,Zr,40,88,0.0,1.32 s,8.0,-8.0812539184e-27,7.0495765428e-48
1483,Zr,40,89,0.0,282240.0,-4.5,-5.404338557930001e-27,4.4860941636e-48
1490,Zr,40,90,0.0,1.34e-07,8.0,5.475049529716e-26,-7.0495765428e-48
1493,Zr,40,91,0.0,inf,-2.5,-6.58430264569038e-27,-2.81983061712e-48
1499,Zr,40,91,0.0,3.6 s,-10.5,4.9598695924180003e-26,1.13754530577e-47
1513,Zr,40,95,0.0,5529600.0,-2.5,5.70738557987e-27,3.5247882714e-48
1525,Zr,40,101,0.0,2.4,-1.5,-1.3738131661280001e-27,1.2977629544699999e-47
1545,Nb,41,90,0.0,52560.0,8.0,2.5056937930739e-26,1.6021764870000002e-49
1548,Nb,41,90,0.0,18.8,-4.0,-9.0914106582e-29,-4.1656588662e-48
1552,Nb,41,91,0.0,21459168000.0,-4.5,3.2936160501179e-26,-4.0054412175e-48
1559,Nb,41,92,0.0,3.5 x 107 y,7.0,2.5940825078064e-26,-5.6076177045e-48
1564,Nb,41,93,0.0,inf,-4.5,3.11658608146795e-26,-5.1269647584000006e-48
1575,Nb,41,99,0.0,15.0,-4.5,3.015317868303e-26,-6.7291412454e-48
1577,Nb,41,101,0.0,7.1,-2.5,1.611199999981e-26,1.68228531135e-47
1579,Nb,41,103,0.0,1.5,-2.5,1.5844308463763e-26,1.73035060596e-47
1584,Mo,42,90,0.0,1.1 s,8.0,-7.025640125309e-27,9.7732765707e-48
1595,Mo,42,92,0.0,1.9e-07,8.0,5.732639498365e-26,-5.767835353199999e-48
1601,Mo,42,94,0.0,2.8999999999999998e-12,2.0,3.13148589338e-27,-2.0828294331e-48
1604,Mo,42,94,0.0,9.8e-08,8.0,5.323526018746e-26,8.010882435e-48
1607,Mo,42,95,0.0,inf,-2.5,-4.6174264576258004e-27,-3.5247882714e-49
1612,Mo,42,96,0.0,3.7e-12,2.0,3.99011912221e-27,-3.2043529740000006e-48
1614,Mo,42,97,0.0,inf,-2.5,-4.7149065830165004e-27,4.0855500418500006e-48
1620,Mo,42,98,0.0,3.5e-12,2.0,3.5355485893e-27,-4.1656588662e-48
1626,Mo,42,100,0.0,1.0300000000000001e-11,2.0,3.5355485893e-27,-4.0054412175e-48
1658,Tc,43,99,0.0,2.1x10*5y,-4.5,2.8712190093705304e-26,-2.0668076682300002e-48
1667,Ru,44,93,0.0,2.4 s,-10.5,4.530552978003e-26,6.408705948000001e-49
1683,Ru,44,96,0.0,2.7000000000000002e-12,2.0,4.64672100308e-27,-2.4032647304999997e-48
1694,Ru,44,98,0.0,5.9e-12,2.0,4.0406269592e-27,-3.3645706227e-48
1699,Ru,44,99,0.0,inf,-2.5,4.506482963207046e-27,1.26571942473e-48
1702,Ru,44,99,0.0,2.05e-08,-1.5,-1.474828840108e-27,3.7010276849700007e-48
1706,Ru,44,100,0.0,1.2e-11,2.0,5.15179937298e-27,-7.0495765428e-48
1714,Ru,44,101,0.0,inf,-2.5,-3.616361128484e-27,7.3700118402e-48
1720,Ru,44,102,0.0,1.8e-11,2.0,3.73757993726e-27,-1.00937118681e-47
1728,Ru,44,103,0.0,3404160.0,-1.5,-1.16168025077e-27,9.933494219399999e-48
1732,Ru,44,104,0.0,5.8e-11,2.0,4.14164263318e-27,-1.24969765986e-47
1750,Rh,45,100,0.0,2.15e-07,2.0,2.1839588714476e-26,2.45133002511e-48
1766,Rh,45,103,0.0,6.7e-12,-1.5,3.48504075231e-27,-4.8065294609999993e-48
1770,Rh,45,103,0.0,7.299999999999999e-11,-2.5,5.50535423191e-27,-6.408705948000001e-48
1787,Pd,46,102,0.0,1.13e-11,2.0,3.93961128522e-27,-3.2043529740000006e-48
1794,Pd,46,104,0.0,9.7e-12,2.0,4.0406269592e-27,-7.3700118402e-48
1796,Pd,46,105,0.0,inf,-2.5,-3.242603134758e-27,1.0574364814200001e-47
1804,Pd,46,106,0.0,1.2e-11,2.0,4.0406269592e-27,-8.171100083700001e-48
1814,Pd,46,108,0.0,2.2999999999999998e-11,2.0,4.24265830716e-27,-9.292623624599999e-48
1824,Pd,46,110,0.0,4.5999999999999996e-11,2.0,3.73757993726e-27,-7.530229488899999e-48
1836,Ag,47,101,0.0,684.0,-4.5,2.87894670843e-26,5.6076177045e-48
1843,Ag,47,103,0.0,3960.0000000000005,-3.5,2.257700313453e-26,1.34582824908e-47
1848,Ag,47,104,0.0,4140.0,5.0,1.9783919748983e-26,1.6983070762200002e-47
1856,Ag,47,105,0.0,432.0,-3.5,2.2294159247386e-26,1.3618500139499999e-47
1867,Ag,47,106,0.0,7344000.0,6.0,1.929399373018e-26,1.77841590057e-47
1871,Ag,47,107,0.0,44.3,-3.5,2.2213346708202e-26,1.5701329572599997e-47
1880,Ag,47,108,0.0,13191076800.0,6.0,1.808180564242e-26,2.1148729628400002e-47
1885,Ag,47,109,0.0,39.8,-3.5,2.22234482756e-26,1.6342200167400002e-47
1889,Ag,47,109,0.0,5.9e-12,-1.5,6.0609404388e-27,-1.1215235409e-47
1893,Ag,47,109,0.0,3.5e-11,-2.5,4.5457053291e-27,-4.8065294609999993e-48
1895,Ag,47,110,0.0,24.4,1.0,1.37739922255429e-26,3.8452235688e-48
1898,Ag,47,110,0.0,21772800.0,6.0,1.8218176802293e-26,2.3071341412799995e-47
1905,Cd,48,102,0.0,5.6000000000000005e-08,8.0,5.202307209970001e-26,1.2176541301200002e-47
1908,Cd,48,103,0.0,438.0,-2.5,-4.0911347961900004e-27,-1.1215235409e-47
1909,Cd,48,103,0.0,438.0,-2.5,-4.0911347961900004e-27,-1.2817411896000002e-47
1911,Cd,48,105,0.0,3360.0,-2.5,-3.7340443886706996e-27,5.9280530019e-48
1912,Cd,48,105,0.0,3360.0,-2.5,-3.7340443886706996e-27,6.8893588941e-48
1914,Cd,48,105,0.0,4.5 s,-10.5,4.631568651983e-26,1.6342200167400002e-47
1918,Cd,48,106,0.0,7.3e-12,2.0,4.0406269592e-27,-4.4860941636e-48
1922,Cd,48,107,0.0,23400.0,-2.5,-3.1067370532548998e-27,9.613058921999999e-48
1926,Cd,48,107,0.0,7e-08,-5.5,-5.6063699058900004e-27,-1.5060458977799997e-47
1928,Cd,48,107,0.0,5.6000000000000005e-08,-10.5,4.5962131660899997e-26,1.68228531135e-47
1932,Cd,48,108,0.0,6.799999999999999e-12,2.0,3.5355485893e-27,-7.2097941915e-48
1934,Cd,48,109,0.0,39139200.0,-2.5,-4.181271587160724e-27,9.613058921999999e-48
1942,Cd,48,110,0.0,5e-12,2.0,3.13148589338e-27,-6.408705948000001e-48
1956,Cd,48,111,0.0,2916.0,-5.5,-5.5816210657649e-27,-1.20163236525e-47
1962,Cd,48,112,0.0,6.2e-12,2.0,3.6365642632799996e-27,-5.9280530019e-48
1969,Cd,48,113,0.0,441806400.0,-5.5,-5.4967678996217e-27,-9.7732765707e-48
1977,Cd,48,114,0.0,9e-12,2.0,3.0304702194e-27,-5.57557417476e-48
1983,Cd,48,115,0.0,3870719.9999999995,-5.5,-5.258039072539876e-27,-7.6904471376e-48
1987,Cd,48,116,0.0,1.5e-11,2.0,3.0304702194e-27,-6.7291412454e-48
1992,Cd,48,117,0.0,12096.0,-5.5,-5.0381567397525004e-27,-5.1269647584000006e-48
1995,Cd,48,119,0.0,132.0,-5.5,-4.8699656425758e-27,-2.16293825745e-48
1997,Cd,48,121,0.0,13.5,-1.5,3.1663363009031e-27,-4.3899635743800004e-48
1999,Cd,48,121,0.0,8.3,-5.5,-5.10129153599e-27,1.4419588383e-49
2001,Cd,48,123,0.0,2.1,-1.5,3.9880988087304e-27,6.7291412454e-49
2003,Cd,48,123,0.0,1.82,-5.5,-5.0583598745485006e-27,2.16293825745e-48
2005,Cd,48,125,0.0,0.68,-1.5,4.3451892162497e-27,3.34854885783e-48
2007,Cd,48,125,0.0,0.48,-5.5,-4.7209675234553e-27,4.30985475003e-48
2009,Cd,48,127,0.0,0.37,-1.5,4.4361033228316996e-27,3.82920180393e-48
2011,Cd,48,127,0.0,-,-5.5,-4.3951919748698e-27,5.4474000558000006e-48
2013,Cd,48,129,0.0,0.27,-1.5,4.2835696551219e-27,2.1148729628400002e-48
2015,Cd,48,129,0.0,-,-5.5,-3.5673685266037004e-27,9.1324059759e-48
2017,In,49,104,0.0,102.0,5.0,2.2425479623560002e-26,1.00937118681e-47
2021,In,49,105,0.0,304.20000000000005,-4.5,2.42437617552e-26,1.26571942473e-47
2026,In,49,106,0.0,372.0,7.0,2.459731661413e-26,1.47400236804e-47
2030,In,49,107,0.0,1944.0,-4.5,2.82843887144e-26,1.2336758949899999e-47
2035,In,49,108,0.0,3480.0,7.0,2.288005015647e-26,1.530078545085e-47
2038,In,49,108,0.0,2400.0,2.0,2.4925617554564998e-26,7.11366360228e-48
2042,In,49,109,0.0,15120.0,-4.5,2.7971240125062004e-26,1.2817411896000002e-47
2045,In,49,110,0.0,4146.0,2.0,2.2046670846135e-26,5.1269647584000006e-48
2049,In,49,110,0.0,17640.0,7.0,2.3834648275581002e-26,1.5220676626499999e-47
2055,In,49,111,0.0,244512.0,-4.5,2.767829467052e-26,1.2176541301200002e-47
2060,In,49,112,0.0,864.0,1.0,1.424321003118e-26,1.3137847193400001e-48
2063,In,49,112,0.0,1254.0,4.0,2.6400446394673e-26,1.087877834673e-47
2066,In,49,112,0.0,0.69 s,7.0,2.3890206896270003e-26,1.602176487e-47
2069,In,49,112,0.0,2.82 s,-8.0,1.555641379292e-26,1.47400236804e-48
2073,In,49,113,0.0,inf,-4.5,2.7925277993401104e-26,1.216051953633e-47
2081,In,49,114,0.0,4276800.0,5.0,2.3839699059279999e-26,1.126330070361e-47
2084,In,49,115,0.0,4.4e14 y,-4.5,2.79853823194192e-26,1.2336758949899999e-47
2091,In,49,115,0.0,5.78e-09,-1.5,3.73757993726e-27,-9.4528412733e-48
2094,In,49,116,0.0,14.1,1.0,1.40795646393324e-26,1.7623941357e-48
2097,In,49,116,0.0,3252.0,5.0,2.2400225705065e-26,1.220858483094e-47
2100,In,49,116,0.0,2.18,-8.0,1.6238269592285e-26,4.72642063665e-48
2103,In,49,117,0.0,2520.0,-4.5,2.7875275234781003e-26,1.2625150717559998e-47
2109,In,49,117,0.0,5.3600000000000004e-08,-1.5,4.59621316609e-27,-9.1324059759e-48
2112,In,49,118,0.0,267.0,5.0,2.1369865830469e-26,1.2128476006589998e-47
2115,In,49,118,0.0,8.5,-8.0,1.6773652664379002e-26,6.71311948053e-48
2118,In,49,119,0.0,144.0,-4.5,2.7855072099985e-26,1.3009673074440001e-47
2122,In,49,119,0.0,1.3e-07,-1.5,2.6769153604700003e-27,9.4528412733e-48
2125,In,49,120,0.0,44.4,5.0,2.1693115987205e-26,1.2336758949899999e-47
2128,In,49,120,0.0,47.3,-8.0,1.8647493416708001e-26,8.074969494479999e-48
2131,In,49,121,0.0,23.1,-4.5,2.7789411911897997e-26,1.240084600938e-47
2135,In,49,122,0.0,9.2,5.0,2.1809284012281998e-26,1.2336758949899999e-47
2138,In,49,122,0.0,10.5,-8.0,1.9097013165919e-26,8.9721883272e-48
2141,In,49,123,0.0,6.68,-4.5,2.7733853291209e-26,1.1535670706399997e-47
2145,In,49,124,0.0,3.09,3.0,2.0420318495057e-26,9.292623624599999e-48
2148,In,49,124,0.0,3.7,-8.0,1.9637447021712e-26,1.010973363297e-47
2151,In,49,125,0.0,2.5,-4.5,2.7789411911897997e-26,1.0894800111600001e-47
2155,In,49,126,0.0,1.6,3.0,2.0374861441766e-26,7.530229488899999e-48
2158,In,49,126,0.0,1.64,-8.0,2.0511232601639e-26,1.0398125400630001e-47
2161,In,49,127,0.0,1.22,-4.5,2.7890427585878e-26,8.9721883272e-48
2166,Sn,50,109,0.0,1080.0,-2.5,-5.4497956112209995e-27,5.2871824071000006e-48
2169,Sn,50,110,0.0,5.6e-09,6.0,3.5355485893000003e-28,4.8065294609999993e-48
2174,Sn,50,111,0.0,2100.0,-3.5,3.116333542283e-27,3.2043529740000006e-48
2179,Sn,50,112,0.0,3.4999999999999997e-13,2.0,3.5355485893e-27,-1.4419588382999997e-48
2184,Sn,50,112,0.0,1.37e-08,6.0,1.0101567398e-27,-4.0054412175e-48
2189,Sn,50,113,0.0,8.2e-08,-5.5,-6.51551097171e-27,-6.5689235967e-48
2195,Sn,50,114,0.0,7.650000000000001e-07,-7.0,-2.8637943573329997e-27,-5.1269647584000006e-48
2199,Sn,50,115,0.0,3.26e-12,-3.5,3.449685266417e-27,-4.1656588662e-48
2202,Sn,50,115,0.0,159 s,-5.5,-6.914522883931e-27,6.088270650600001e-48
2206,Sn,50,116,0.0,3.6e-13,2.0,-1.5152351097e-27,-2.7237000279000003e-48
2210,Sn,50,116,0.0,3.7e-07,-5.0,-1.899094670824e-27,4.1656588662e-48
2217,Sn,50,117,0.0,1175040.0,-5.5,-7.0483686519545e-27,-6.7291412454e-48
2231,Sn,50,119,0.0,1.78e-08,-1.5,3.4446344827180004e-27,-2.1148729628400002e-48
2240,Sn,50,119,0.0,25323840.000000004,-5.5,-7.0710971786e-27,-4.6463118122999993e-48
2243,Sn,50,120,0.0,6.4e-13,2.0,-1.4142194357200001e-27,3.2043529740000003e-49
2247,Sn,50,120,0.0,5.5300000000000005e-09,-5.0,-1.86878996863e-27,7.3700118402e-49
2249,Sn,50,121,0.0,97560.0,-1.5,3.5244368651622e-27,-3.2043529740000003e-49
2251,Sn,50,121,0.0,1735668000.0,-5.5,-7.0089725391023e-27,-2.2430470818e-48
2254,Sn,50,122,0.0,7.6e-13,2.0,-5.050783699e-28,-2.0828294331e-48
2257,Sn,50,123,0.0,11145600.0,-5.5,-6.91957366763e-27,4.806529461e-49
2261,Sn,50,124,0.0,9.3e-13,2.0,-1.5152351097e-27,4.806529461e-49
2265,Sn,50,125,0.0,831167.9999999999,-5.5,-6.808456426252e-27,3.2043529740000006e-48
2268,Sn,50,125,0.0,570.0,-1.5,3.858798746036e-27,1.37787177882e-47
2271,Sn,50,126,0.0,1.15e-12,2.0,-2.5253918495e-27,0.0
2274,Sn,50,127,0.0,7560.0,-5.5,-6.712491535971e-27,5.1269647584000006e-48
2276,Sn,50,127,0.0,247.79999999999998,-1.5,3.8234432601430004e-27,1.04141471655e-47
2280,Sn,50,128,0.0,2.7 s,10.0,-1.0101567398e-26,-1.6021764870000003e-48
2282,Sn,50,129,0.0,133.8,-1.5,3.808290909046e-27,8.010882435000001e-49
2284,Sn,50,129,0.0,414.0,-5.5,-6.550866457603e-27,-3.2043529740000006e-48
2286,Sn,50,130,0.0,102.0,-7.0,-1.9243485893190002e-27,-6.2484882993e-48
2288,Sn,50,131,0.0,56.0,-1.5,3.772935423153e-27,-6.408705948000001e-49
2290,Sn,50,131,0.0,58.4,-5.5,-6.4447999999240004e-27,0.0
2292,Sb,51,112,0.0,5.36e-07,-8.0,1.1071317868208002e-26,1.6983070762200002e-47
2296,Sb,51,114,0.0,219 s,-8.0,1.1440025078235e-26,1.6342200167400002e-47
2306,Sb,51,115,0.0,1.52e-07,-9.5,1.3536100313320002e-26,1.26571942473e-47
2313,Sb,51,116,0.0,1.19e-08,7.0,2.3688175548310003e-26,4.0054412174999997e-47
2320,Sb,51,117,0.0,340 s,-12.5,7.5761755485e-27,1.82648119518e-47
2323,Sb,51,117,0.0,2.9000000000000003e-07,-11.5,2.5405442005970003e-26,5.9280530019e-47
2327,Sb,51,118,0.0,20.6 s,3.0,1.328356112837e-26,1.4419588383e-47
2331,Sb,51,118,0.0,1.3400000000000001e-08,-3.0,-1.8990946708239998e-26,6.2484882993e-48
2334,Sb,51,118,0.0,2.2800000000000002e-08,7.0,2.404173040724e-26,4.1656588662e-47
2338,Sb,51,119,0.0,1.28e-07,-9.5,1.585946081486e-26,5.09492122866e-47
2343,Sb,51,120,0.0,2.4700000000000003e-07,3.0,1.3051225078216e-26,1.00937118681e-47
2346,Sb,51,121,0.0,inf,-2.5,1.69878058932166e-26,-8.69981832441e-48
2350,Sb,51,121,0.0,3.5000000000000003e-09,-3.5,1.2717873354082e-26,-1.164782306049e-47
2353,Sb,51,122,0.0,231552.0,-2.0,-9.596489028099999e-27,2.0507859033600002e-47
2357,Sb,51,122,0.0,1.86 s,3.0,1.5066487774117002e-26,1.00937118681e-47
2361,Sb,51,123,0.0,inf,-3.5,1.28784882757102e-26,-1.108706129004e-47
2364,Sb,51,124,0.0,5201280.0,-3.0,6.0609404388e-27,4.4860941636e-47
2395,Te,52,122,0.0,7.519999999999999e-12,2.0,2.8284388714400002e-27,-9.1324059759e-48
2410,Te,52,124,0.0,6.25e-12,2.0,2.6264075234800002e-27,-7.2097941915e-48
2414,Te,52,125,0.0,1.48e-09,-1.5,3.055724137895e-27,-4.9667471096999993e-48
2416,Te,52,125,0.0,5011200.0,-5.5,-4.975021943515e-27,0.0
2419,Te,52,125,0.0,6.95e-10,-4.5,-4.64672100308e-27,1.9226117844e-48
2435,Te,52,126,0.0,4.41e-12,2.0,1.91929780562e-27,-3.6850059201e-48
2440,Te,52,127,0.0,9417600.0,-5.5,-5.2578658306589996e-27,2.7237000279000003e-48
2447,Te,52,128,0.0,3.2e-12,2.0,3.13148589338e-27,-3.5247882714e-48
2451,Te,52,129,0.0,4170.0,-1.5,3.545650156698e-27,8.8119706785e-49
2454,Te,52,129,0.0,2894400.0,-5.5,-5.5558620689e-27,6.408705948000001e-48
2464,Te,52,131,0.0,108000.0,-5.5,-6.0609404388e-27,4.0054412175e-48
2469,Te,52,133,0.0,750.0,-1.5,4.29316614415e-27,3.6850059201e-48
2472,Te,52,133,0.0,3324.0,-5.5,5.808401253849999e-27,4.4860941636e-48
2476,Te,52,135,0.0,19.0,-3.5,-3.48504075231e-27,4.6463118122999993e-48
2493,I,53,125,0.0,5201280.0,-2.5,1.4248260814879e-26,-1.2192563066069999e-47
2499,I,53,127,0.0,inf,-2.5,1.420921825688573e-26,-1.115114834952e-47
2505,I,53,127,0.0,1.95e-09,-3.5,1.2828990595460001e-26,-9.99758127888e-48
2512,I,53,129,0.0,1.6x10*7 y,-3.5,1.3238104075079002e-26,-7.81862125656e-48
2516,I,53,129,0.0,1.68e-08,-2.5,1.4167448275695e-26,-9.67714598148e-48
2523,I,53,131,0.0,694655.9999999999,-3.5,1.3849248902658e-26,-5.4474000558000006e-48
2527,I,53,131,0.0,5.900000000000001e-09,-7.5,-6.0609404388e-27,1.0574364814200001e-47
2530,I,53,132,0.0,8208.0,4.0,1.5596820062512002e-26,1.2817411896000001e-48
2533,I,53,132,0.0,1.1200000000000003e-09,3.0,1.11117241378e-26,3.2043529740000006e-48
2535,I,53,132,0.0,1.42e-09,1.0,9.495473354119999e-27,-2.4032647304999997e-48
2538,I,53,133,0.0,75240.0,-3.5,1.4425038244344e-26,-3.6850059201e-48
2543,Xe,54,117,0.0,61.2,-2.5,-2.9991553604662e-27,1.82648119518e-47
2547,Xe,54,119,0.0,348.0,-2.5,-2.9799623824099998e-27,2.0668076682299999e-47
2551,Xe,54,121,0.0,2340.0,-2.5,-3.2830094043500004e-27,2.09885119797e-47
2555,Xe,54,123,0.0,5.2 s,-3.5,-4.555806896498e-27,2.2430470818e-47
2556,Xe,54,123,201+x,1.7e-08,-4.5,-4.555806896498e-27,1.7623941357000002e-47
2560,Xe,54,125,0.0,57.0,-4.5,-3.7643490908647e-27,6.68107595079e-48
2569,Xe,54,127,0.0,69.0,-4.5,-4.4669131033956e-27,1.0894800111600001e-47
2577,Xe,54,129,0.0,9.800000000000001e-10,-1.5,2.9294545454199997e-27,-6.29655359391e-48
2582,Xe,54,129,0.0,768096.0,-5.5,4.5007533541789e-27,1.00937118681e-47
2593,Xe,54,131,0.0,inf,-1.5,3.494445311557538e-27,-1.82648119518e-48
2600,Xe,54,131,0.0,1019520.0000000001,-5.5,-5.020721434423552e-27,1.1535670706399997e-47
2609,Xe,54,132,0.0,9.000000000000001e-08,-7.0,-3.0304702194e-28,1.6021764870000002e-49
2617,Xe,54,133,0.0,452736.0,-1.5,4.0406269592e-27,2.2430470818e-48
2622,Xe,54,133,0.0,189216.0,-5.5,-5.4674733541675005e-27,1.2176541301200002e-47
2629,Xe,54,135,0.0,32760.0,-1.5,4.5613627585669e-27,3.3645706227e-48
2633,Xe,54,135,0.0,918.0,-5.5,5.571014419997e-27,9.7732765707e-48
2640,Xe,54,137,0.0,229.2,-3.5,-4.889158620632e-27,-7.530229488899999e-48
2644,Xe,54,139,0.0,39.7,-1.5,-1.535438244496e-27,6.2484882993e-48
2648,Xe,54,141,0.0,1.73,-2.5,5.050783699e-29,-9.1324059759e-48
2652,Xe,54,143,0.0,0.3,-2.5,-2.3228554231701e-27,1.45798060317e-47
2655,Cs,55,118,0.0,14.0,2.0,1.9576837617324e-26,2.09885119797e-47
2659,Cs,55,119,0.0,36.0,-4.5,2.757727899654e-26,4.24576769055e-47
2662,Cs,55,119,0.0,28.0,-1.5,4.2325567397619996e-27,1.3618500139499999e-47
2665,Cs,55,120,0.0,64.0,2.0,1.954653291513e-26,2.1789600223200002e-47
2670,Cs,55,121,0.0,136.2,-1.5,3.99011912221e-27,1.26571942473e-47
2672,Cs,55,121,0.0,136.2,-1.5,3.99011912221e-27,4.0535065121099994e-47
2676,Cs,55,122,0.0,21.0,1.0,6.71754231967e-28,-2.86789591173e-48
2679,Cs,55,122,0.0,252.0,-8.0,2.7324739811590004e-26,4.950725344829999e-47
2685,Cs,55,124,0.0,30.8,1.0,3.404228213126e-27,-1.1055017760299999e-47
2690,Cs,55,126,0.0,98.39999999999999,1.0,3.934560501521e-27,-1.0253929516800001e-47
2697,Cs,55,128,0.0,217.20000000000002,1.0,4.934615673923e-27,-8.6517530298e-48
2703,Cs,55,130,0.0,1794.0,1.0,7.404448902734e-27,-8.972188327200001e-49
2707,Cs,55,130,0.0,222.0,-5.0,3.187044514069e-27,2.1789600223200002e-47
2711,Cs,55,131,0.0,837216.0,-2.5,1.7894926645557e-26,9.4528412733e-48
2715,Cs,55,131,0.0,8.7e-09,-2.5,9.39445768014e-27,3.2043529740000006e-48
2719,Cs,55,132,0.0,559008.0,-2.0,1.126324764877e-26,7.6904471376e-48
2724,Cs,55,133,0.0,inf,-3.5,1.3045733866178448e-26,-5.49546535041e-50
2729,Cs,55,133,0.0,6.31e-09,-2.5,1.7425203761550002e-26,-4.8065294609999993e-48
2734,Cs,55,134,0.0,65008656.0,4.0,1.510184326001e-26,5.9280530019e-48
2740,Cs,55,134,0.0,10440.0,-8.0,5.611420689589e-27,1.47400236804e-47
2744,Cs,55,135,0.0,3x10*6 y,-3.5,1.378863949827e-26,7.6904471376e-49
2748,Cs,55,135,0.0,3180.0,-9.5,1.101070846382e-26,1.3298064842099999e-47
2752,Cs,55,136,0.0,1140480.0,5.0,1.873840752329e-26,3.41263591731e-48
2756,Cs,55,136,0.0,19.0,-8.0,6.661983698981e-27,1.1215235409e-47
2761,Cs,55,137,0.0,952092792.0,-3.5,1.434422570516e-26,7.6904471376e-49
2768,Cs,55,138,0.0,1932.0000000000002,-3.0,3.540599372999e-27,1.7944376654400002e-48
2772,Cs,55,138,0.0,174.0,-6.0,8.651992476387e-27,-5.9280530019e-48
2777,Cs,55,139,0.0,564.0,-3.5,1.3637115987300002e-26,-1.0093711868099999e-48
2784,Cs,55,140,0.0,65.0,-1.0,6.768050156660001e-28,-1.50604589778e-48
